CHROM	Start	End	Strand	GeneID
chr1	11654877	11663327	+	ENSG00000132879
chr1	11674480	11681148	-	ENSG00000116670
chr1	11664200	11674354	+	ENSG00000116663
chr1	11691710	11725857	+	ENSG00000162490
chr1	11736136	11750769	+	ENSG00000177674
chr1	11762193	11789585	+	ENSG00000215910
chr1	11785723	11805964	-	ENSG00000177000
chr1	11806191	11843130	+	ENSG00000011021
chr1	11845709	11847783	-	ENSG00000175206
chr1	11857464	11858945	-	ENSG00000120937
chr1	11919591	11926427	-	ENSG00000116685
chr1	11934717	11975537	+	ENSG00000083444
chr1	11980444	12013508	+	ENSG00000116688
chr1	12019498	12032045	+	ENSG00000116691
chr1	12063303	12144207	+	ENSG00000120949
chr1	12166991	12209220	+	ENSG00000028137
chr1	12230030	12512047	+	ENSG00000048707
chr1	12567910	12618210	-	ENSG00000162496
chr1	12644085	12667076	+	ENSG00000204518
chr1	12716110	12728760	+	ENSG00000188984
chr1	12746200	12763699	+	ENSG00000157330
chr1	12773738	12777906	+	ENSG00000116726
chr1	12791397	12796628	+	ENSG00000116721
chr1	12824605	12831410	-	ENSG00000239810
chr1	12847377	12848720	-	ENSG00000179172
chr1	12857086	12861909	+	ENSG00000120952
chr1	12879212	12886201	-	ENSG00000243073
chr1	12892896	12898270	-	ENSG00000187545
chr1	12916610	12920751	+	ENSG00000204510
chr1	12938472	12947580	-	ENSG00000232423
chr1	13049476	13056575	-	ENSG00000274764
chr1	13060769	13062878	+	ENSG00000277058
chr1	13070774	13077884	+	ENSG00000229571
chr1	13115488	13116854	-	ENSG00000275774
chr1	13148907	13156009	-	ENSG00000280267
chr1	13163914	13165631	-	ENSG00000179412
chr1	13171848	13179459	+	ENSG00000204505
chr1	13196188	13201409	-	ENSG00000279169
chr1	13222695	13226154	-	ENSG00000279804
chr1	13254198	13263435	+	ENSG00000270601
chr1	13281304	13285137	-	ENSG00000182330
chr1	13303539	13308907	+	ENSG00000237700
chr1	13315581	13322598	+	ENSG00000204501
chr1	13341892	13347134	-	ENSG00000204481
chr1	13368431	13371947	-	ENSG00000204480
chr1	13389632	13392629	+	ENSG00000204479
chr1	13410450	13421328	+	ENSG00000204478
chr1	13474973	13514003	-	ENSG00000162494
chr1	13583832	13617957	+	ENSG00000162493
chr1	13700188	13825079	+	ENSG00000116731
chr1	14598685	15118043	+	ENSG00000189337
chr1	15153747	15220478	+	ENSG00000171729
chr1	15247223	15398328	+	ENSG00000142621
chr1	15409888	15430339	+	ENSG00000142634
chr1	15438443	15449242	+	ENSG00000162438
chr1	15456732	15472091	+	ENSG00000142615
chr1	15476104	15491395	+	ENSG00000215704
chr1	15491401	15524215	-	ENSG00000132906
chr1	15526848	15571733	+	ENSG00000116138
chr1	15571699	15585051	-	ENSG00000116771
chr1	15617458	15669044	+	ENSG00000197312
chr1	15659713	15662033	+	ENSG00000215695
chr1	15684320	15734769	+	ENSG00000116786
chr1	15736258	15741392	+	ENSG00000162461
chr1	15742499	15747982	+	ENSG00000162460
chr1	15758795	15786589	+	ENSG00000162458
chr1	15807374	15807649	-	ENSG00000233954
chr1	15847707	15940456	+	ENSG00000065526
chr1	15941869	15976101	-	ENSG00000116809
chr1	16004236	16008807	+	ENSG00000183888
chr1	16014029	16018043	-	ENSG00000173641
chr1	16022036	16034050	+	ENSG00000186510
chr1	16043782	16057308	+	ENSG00000184908
chr1	16057769	16073651	-	ENSG00000185519
chr1	16124337	16156069	-	ENSG00000142627
chr1	16197854	16212652	-	ENSG00000142632
chr1	16231692	16237183	-	ENSG00000132881
chr1	16246840	16352480	-	ENSG00000037637
chr1	16367242	16398145	+	ENSG00000055070
chr1	16398643	16437424	-	ENSG00000187144
chr1	16440724	16460078	+	ENSG00000157191
chr1	16562319	16613487	-	ENSG00000219481
chr1	16921931	16972964	+	ENSG00000058453
chr1	16974502	16980620	-	ENSG00000117122
chr1	16985958	17011928	-	ENSG00000159363
chr1	17005068	17011757	-	ENSG00000288636
chr1	17018722	17054032	-	ENSG00000117118
chr1	17066761	17119451	-	ENSG00000117115
chr1	17205128	17246007	+	ENSG00000142623
chr1	17249098	17284233	+	ENSG00000142619
chr1	17308197	17364004	+	ENSG00000159339
chr1	17372196	17401699	+	ENSG00000276747
chr1	17406760	17439677	-	ENSG00000179051
chr1	17539698	17697869	+	ENSG00000074964
chr1	17755333	17827063	+	ENSG00000117148
chr1	18107798	18378483	+	ENSG00000117154
chr1	18480930	18485974	+	ENSG00000179023
chr1	18630846	18748866	+	ENSG00000009709
chr1	18839599	18859660	-	ENSG00000179002
chr1	18871430	18902555	-	ENSG00000159423
chr1	18904280	18956676	-	ENSG00000169991
chr1	19074510	19210266	-	ENSG00000127481
chr1	19215660	19251524	-	ENSG00000127463
chr1	19251805	19260128	+	ENSG00000053372
chr1	19267103	19274194	-	ENSG00000211454
chr1	19282573	19288770	-	ENSG00000162482
chr1	19303965	19312144	-	ENSG00000053371
chr1	19312326	19329300	+	ENSG00000040487
chr1	19338775	19485539	-	ENSG00000077549
chr1	19596979	19629820	+	ENSG00000173436
chr1	19644311	19658452	+	ENSG00000158747
chr1	19597067	19656914	+	ENSG00000270136
chr1	19664875	19680966	+	ENSG00000158748
chr1	19682240	19799916	-	ENSG00000162542
chr1	19814029	19815283	-	ENSG00000178828
chr1	19882395	19912945	+	ENSG00000169914
chr1	19920009	19923617	-	ENSG00000188784
chr1	19975435	19979618	-	ENSG00000188257
chr1	20070194	20091911	+	ENSG00000127472
chr1	20111939	20119536	-	ENSG00000117215
chr1	20139323	20150381	+	ENSG00000158786
chr1	20163055	20186518	-	ENSG00000187980
chr1	20186096	20196050	+	ENSG00000162543
chr1	20290875	20359518	+	ENSG00000158816
chr1	20482391	20486210	-	ENSG00000162545
chr1	20499448	20508151	-	ENSG00000090432
chr1	20552573	20555020	+	ENSG00000183114
chr1	20589097	20618903	+	ENSG00000158825
chr1	20633458	20651511	+	ENSG00000158828
chr1	20651777	20661369	-	ENSG00000244038
chr1	20664014	20718007	-	ENSG00000117245
chr1	20719731	20732703	-	ENSG00000189410
chr1	20740266	20787307	-	ENSG00000127483
chr1	20806479	21176897	-	ENSG00000075151
chr1	21217250	21290463	-	ENSG00000117298
chr1	21440137	21484900	+	ENSG00000142794
chr1	21509423	21578410	+	ENSG00000162551
chr1	21547404	21554002	+	ENSG00000289715
chr1	21596221	21669357	-	ENSG00000076864
chr1	21678298	21783149	-	ENSG00000090686
chr1	21812265	21825225	+	ENSG00000187942
chr1	21822244	21937310	-	ENSG00000142798
chr1	21977022	21989354	+	ENSG00000219073
chr1	22001657	22012542	+	ENSG00000142789
chr1	22025142	22091559	+	ENSG00000289694
chr1	22052709	22101360	+	ENSG00000070831
chr1	22117313	22143097	-	ENSG00000162552
chr1	22451851	22531154	+	ENSG00000184677
chr1	22563489	22603595	+	ENSG00000070886
chr1	22636628	22639678	+	ENSG00000173372
chr1	22636506	22644067	+	ENSG00000289692
chr1	22643633	22648108	+	ENSG00000159189
chr1	22653236	22661637	+	ENSG00000173369
chr1	22710839	22921500	+	ENSG00000133216
chr1	22953043	22972866	-	ENSG00000215906
chr1	23010834	23015852	-	ENSG00000227868
chr1	23019468	23083689	+	ENSG00000004487
chr1	23084030	23168856	-	ENSG00000169641
chr1	23191895	23217502	-	ENSG00000179546
chr1	23304688	23344284	-	ENSG00000125944
chr1	23359448	23369836	-	ENSG00000125945
chr1	23380909	23424748	-	ENSG00000204219
chr1	23428563	23484179	-	ENSG00000088280
chr1	23506438	23531233	-	ENSG00000007968
chr1	23557926	23559501	-	ENSG00000117318
chr1	23691806	23696835	+	ENSG00000142676
chr1	23743471	23762059	+	ENSG00000011007
chr1	23778418	23788232	+	ENSG00000057757
chr1	23791145	23795539	+	ENSG00000011009
chr1	23795599	23800754	-	ENSG00000117308
chr1	23801885	23825429	-	ENSG00000117305
chr1	23845077	23868290	-	ENSG00000179163
chr1	23870515	23913362	-	ENSG00000188822
chr1	23959828	23963462	+	ENSG00000189266
chr1	23964347	23980327	-	ENSG00000188529
chr1	24056041	24112135	-	ENSG00000142661
chr1	24119771	24143140	-	ENSG00000142677
chr1	24154168	24187289	-	ENSG00000185436
chr1	24319357	24355318	+	ENSG00000158055
chr1	24356999	24413782	-	ENSG00000001460
chr1	24415802	24472976	+	ENSG00000001461
chr1	24502836	24541040	+	ENSG00000117602
chr1	24556087	24609328	+	ENSG00000184454
chr1	24643302	24673281	+	ENSG00000133226
chr1	24745447	24844321	+	ENSG00000169504
chr1	24899511	24930276	-	ENSG00000020633
chr1	25222276	25232502	-	ENSG00000117614
chr1	25242249	25247454	-	ENSG00000117616
chr1	25272509	25330445	+	ENSG00000187010
chr1	25338334	25362361	+	ENSG00000183726
chr1	25362249	25420825	-	ENSG00000188672
chr1	25430897	25500209	+	ENSG00000204178
chr1	25543606	25568886	+	ENSG00000157978
chr1	25616791	25784450	+	ENSG00000117643
chr1	25800193	25818221	+	ENSG00000162430
chr1	25813973	25823744	+	ENSG00000255054
chr1	25819954	25832938	+	ENSG00000117640
chr1	25834006	25859457	-	ENSG00000127423
chr1	25861484	25875708	-	ENSG00000182749
chr1	25900116	25906419	-	ENSG00000117632
chr1	25959767	25998063	-	ENSG00000158006
chr1	26021775	26036464	+	ENSG00000158008
chr1	26037252	26046118	-	ENSG00000158014
chr1	26051301	26067630	-	ENSG00000158022
chr1	26111824	26125555	+	ENSG00000175087
chr1	26159079	26163962	+	ENSG00000197245
chr1	26164101	26168963	-	ENSG00000282872
chr1	26169521	26171832	-	ENSG00000236782
chr1	26169908	26170873	+	ENSG00000142684
chr1	26177491	26189884	+	ENSG00000142675
chr1	26190602	26202964	+	ENSG00000188782
chr1	26234200	26278808	+	ENSG00000130695
chr1	26280086	26281522	+	ENSG00000142669
chr1	26282282	26306636	-	ENSG00000158062
chr1	26317958	26320523	+	ENSG00000169442
chr1	26321865	26354130	-	ENSG00000176092
chr1	26361634	26372750	-	ENSG00000176083
chr1	26410817	26429728	+	ENSG00000131914
chr1	26432321	26471306	+	ENSG00000117682
chr1	26472440	26476642	+	ENSG00000198830
chr1	26529761	26575025	+	ENSG00000117676
chr1	26696015	26782104	+	ENSG00000117713
chr1	26787950	26800659	+	ENSG00000060642
chr1	26826688	26857604	+	ENSG00000204160
chr1	26863149	26864456	+	ENSG00000175793
chr1	26876132	26890283	-	ENSG00000142751
chr1	26890488	26900467	-	ENSG00000198746
chr1	26921743	26946871	+	ENSG00000090273
chr1	26911489	26913975	-	ENSG00000131910
chr1	26949562	26960468	-	ENSG00000175707
chr1	26993692	27000886	+	ENSG00000253368
chr1	27005020	27012850	-	ENSG00000158246
chr1	27098809	27155125	-	ENSG00000090020
chr1	27234632	27308636	+	ENSG00000142784
chr1	27322163	27336400	+	ENSG00000186501
chr1	27342022	27353932	+	ENSG00000142765
chr1	27355184	27366961	-	ENSG00000142733
chr1	27369110	27374824	-	ENSG00000142748
chr1	27379176	27383333	-	ENSG00000174950
chr1	27392622	27395814	+	ENSG00000181773
chr1	27404230	27490167	-	ENSG00000158195
chr1	27534245	27604144	-	ENSG00000126705
chr1	27612064	27635185	-	ENSG00000000938
chr1	27666064	27672192	-	ENSG00000126709
chr1	27725961	27763116	+	ENSG00000009780
chr1	27773219	27824443	+	ENSG00000117758
chr1	27830782	27851676	+	ENSG00000117751
chr1	27872544	27886675	+	ENSG00000130775
chr1	27891524	27914575	-	ENSG00000117748
chr1	27935000	27959152	+	ENSG00000130768
chr1	27959973	27968093	+	ENSG00000158156
chr1	27970344	28088610	-	ENSG00000158161
chr1	28147166	28176690	-	ENSG00000169403
chr1	28200278	28233029	-	ENSG00000126698
chr1	28236124	28238100	+	ENSG00000130770
chr1	28259518	28282491	+	ENSG00000130766
chr1	28329040	28335965	+	ENSG00000130772
chr1	28369740	28500364	+	ENSG00000204138
chr1	28506043	28538989	+	ENSG00000180198
chr1	28553085	28578545	+	ENSG00000180098
chr1	28602850	28643067	-	ENSG00000120656
chr1	28592265	28595449	+	ENSG00000188060
chr1	28668784	28719353	+	ENSG00000162419
chr1	28736940	28769775	+	ENSG00000198492
chr1	28812170	28871267	+	ENSG00000116329
chr1	28914569	29120041	+	ENSG00000159023
chr1	29119429	29123903	-	ENSG00000253304
chr1	29147743	29181900	-	ENSG00000116350
chr1	29192657	29230934	-	ENSG00000116353
chr1	29236522	29326800	+	ENSG00000060656
chr1	30576655	30576825	-	ENSG00000289710
chr1	30711277	30723585	-	ENSG00000162510
chr1	30732469	30757774	-	ENSG00000162511
chr1	30869466	30908758	-	ENSG00000162512
chr1	30931506	31065717	-	ENSG00000134644
chr1	31179745	31239887	-	ENSG00000084628
chr1	31259568	31296788	-	ENSG00000060688
chr1	31297032	31364936	+	ENSG00000121766
chr1	31365253	31373076	-	ENSG00000121769
chr1	31413213	31434678	+	ENSG00000168528
chr1	31576515	31587686	+	ENSG00000142910
chr1	31617689	31627613	+	ENSG00000121764
chr1	31629866	31644876	-	ENSG00000162517
chr1	31652263	31704017	-	ENSG00000084636
chr1	31727117	31764340	-	ENSG00000121753
chr1	31790422	31816022	-	ENSG00000134668
chr1	31906421	31938368	-	ENSG00000184007
chr1	31919563	31938010	-	ENSG00000288678
chr1	32013868	32043877	+	ENSG00000121774
chr1	32072939	32102863	+	ENSG00000121775
chr1	32108056	32176563	+	ENSG00000025800
chr1	32179675	32198285	+	ENSG00000084652
chr1	32200595	32205387	+	ENSG00000160050
chr1	32205671	32208682	+	ENSG00000160051
chr1	32209089	32216192	+	ENSG00000222046
chr1	32216200	32222353	-	ENSG00000160055
chr1	32222407	32231604	+	ENSG00000084623
chr1	32247222	32248856	+	ENSG00000183615
chr1	32251265	32286165	+	ENSG00000182866
chr1	32292083	32333626	+	ENSG00000116478
chr1	32333839	32336233	-	ENSG00000175130
chr1	32362539	32364312	+	ENSG00000162526
chr1	32361270	32362485	-	ENSG00000225828
chr1	32364633	32394441	-	ENSG00000160058
chr1	32465057	32600792	+	ENSG00000254553
chr1	32465072	32496686	+	ENSG00000273274
chr1	32539427	32605941	+	ENSG00000160062
chr1	32620820	32650550	-	ENSG00000176261
chr1	32651208	32686211	+	ENSG00000162521
chr1	32679906	32702770	-	ENSG00000162520
chr1	32741830	32774970	+	ENSG00000162522
chr1	32775239	32817358	-	ENSG00000134684
chr1	32817653	32858875	+	ENSG00000116497
chr1	32862268	32870912	-	ENSG00000160097
chr1	32886491	32894646	+	ENSG00000121905
chr1	32894595	32901389	-	ENSG00000121900
chr1	32936449	32964809	-	ENSG00000116514
chr1	33007986	33036883	-	ENSG00000004455
chr1	33081153	33123492	+	ENSG00000142920
chr1	33145399	33182043	-	ENSG00000116525
chr1	33256492	33300719	+	ENSG00000160094
chr1	33306766	33321098	-	ENSG00000184389
chr1	33323626	33431095	-	ENSG00000134686
chr1	33472645	33501643	+	ENSG00000121903
chr1	33513998	34165230	-	ENSG00000121904
chr1	33864079	33864791	+	ENSG00000176256
chr1	34176907	34219131	+	ENSG00000142698
chr1	34850362	34859749	-	ENSG00000163866
chr1	34755047	34758512	+	ENSG00000189280
chr1	34759740	34762327	+	ENSG00000189433
chr1	34781214	34786364	+	ENSG00000188910
chr1	34792999	34795747	+	ENSG00000187513
chr1	34865436	34929650	-	ENSG00000116544
chr1	34974356	34985313	-	ENSG00000284773
chr1	34981380	34985347	-	ENSG00000243749
chr1	34981533	35031741	-	ENSG00000271741
chr1	34986165	35031945	-	ENSG00000163867
chr1	35079385	35115859	+	ENSG00000197056
chr1	35182936	35193145	-	ENSG00000116560
chr1	35268709	35422058	+	ENSG00000146463
chr1	35433492	35557403	-	ENSG00000142687
chr1	35557799	35566779	+	ENSG00000020129
chr1	35573314	35595328	+	ENSG00000116819
chr1	35599541	35641526	-	ENSG00000126067
chr1	35713877	35718884	-	ENSG00000142686
chr1	35732112	35769978	-	ENSG00000092853
chr1	35808016	35857890	+	ENSG00000134698
chr1	35883209	35930532	+	ENSG00000092847
chr1	35931105	36072500	+	ENSG00000126070
chr1	36084094	36088275	+	ENSG00000092850
chr1	36088892	36093932	+	ENSG00000116863
chr1	36095239	36125222	-	ENSG00000171812
chr1	36136572	36149486	-	ENSG00000054116
chr1	36156160	36180849	+	ENSG00000116871
chr1	36224443	36305357	+	ENSG00000054118
chr1	36306368	36321347	+	ENSG00000214193
chr1	36322030	36323645	-	ENSG00000142694
chr1	36339628	36385924	-	ENSG00000196182
chr1	36393436	36397908	-	ENSG00000181817
chr1	36417906	36450451	-	ENSG00000116885
chr1	36455718	36464384	-	ENSG00000116898
chr1	36466043	36482913	-	ENSG00000119535
chr1	36795527	37034515	-	ENSG00000163873
chr1	37474580	37484377	+	ENSG00000163874
chr1	37489993	37514766	-	ENSG00000163875
chr1	37534449	37554293	-	ENSG00000163877
chr1	37556940	37566857	+	ENSG00000163879
chr1	37566816	37595937	-	ENSG00000134697
chr1	37611350	37634892	-	ENSG00000169218
chr1	37681570	37690529	-	ENSG00000116922
chr1	37692516	37709719	+	ENSG00000134690
chr1	37715976	37765120	-	ENSG00000183317
chr1	37793847	37801133	+	ENSG00000185090
chr1	37802945	37808208	-	ENSG00000196449
chr1	37807790	37809454	+	ENSG00000197982
chr1	37809574	37859592	-	ENSG00000188786
chr1	37860697	37947053	-	ENSG00000204084
chr1	37956975	37990022	-	ENSG00000183431
chr1	37996770	38005514	-	ENSG00000183386
chr1	38012734	38024820	+	ENSG00000183520
chr1	38043829	38046793	-	ENSG00000185668
chr1	38838198	38859772	-	ENSG00000116954
chr1	38862493	38873348	-	ENSG00000214114
chr1	38864529	38881602	-	ENSG00000274944
chr1	38874069	38881587	-	ENSG00000131233
chr1	38885807	38941830	-	ENSG00000158315
chr1	38991276	39006059	+	ENSG00000174574
chr1	39026350	39034615	+	ENSG00000168653
chr1	39204695	39487138	+	ENSG00000127603
chr1	39491636	39529869	+	ENSG00000183682
chr1	39560816	39576790	-	ENSG00000090621
chr1	39623435	39639643	-	ENSG00000163909
chr1	39651229	39672107	-	ENSG00000116981
chr1	39678648	39691433	-	ENSG00000116983
chr1	39738882	39756769	+	ENSG00000084072
chr1	39757182	39788865	-	ENSG00000116985
chr1	39769523	39771348	-	ENSG00000198754
chr1	39838110	39883504	-	ENSG00000043514
chr1	39895428	39901917	-	ENSG00000116990
chr1	39955145	39969956	+	ENSG00000168389
chr1	40040729	40072648	+	ENSG00000131236
chr1	40072712	40097252	-	ENSG00000131238
chr1	40161387	40240921	+	ENSG00000117000
chr1	40247937	40251684	+	ENSG00000188800
chr1	40258236	40294180	+	ENSG00000084073
chr1	40300489	40317286	-	ENSG00000049089
chr1	40373727	40423322	+	ENSG00000084070
chr1	40450476	40463715	+	ENSG00000187801
chr1	40477290	40496343	+	ENSG00000187815
chr1	40508767	40516038	+	ENSG00000164002
chr1	40531637	40548167	+	ENSG00000117010
chr1	40620680	40665682	-	ENSG00000117016
chr1	40691704	40771603	+	ENSG00000066136
chr1	40783787	40840452	+	ENSG00000117013
chr1	40861054	40862363	-	ENSG00000179862
chr1	40979696	41012565	+	ENSG00000171793
chr1	41015597	41021725	-	ENSG00000171790
chr1	41027202	41242306	-	ENSG00000010803
chr1	41361931	41382681	+	ENSG00000204060
chr1	41478775	41484683	-	ENSG00000127129
chr1	41506365	41918922	-	ENSG00000127124
chr1	41585306	41628816	-	ENSG00000284895
chr1	42153410	42155820	+	ENSG00000044012
chr1	42162690	42164745	-	ENSG00000197273
chr1	42176548	42335235	-	ENSG00000198815
chr1	42380792	42424232	+	ENSG00000177181
chr1	42430329	42456022	-	ENSG00000066185
chr1	42456543	42461236	+	ENSG00000127125
chr1	42463286	42657190	+	ENSG00000186409
chr1	42658423	42676758	+	ENSG00000171960
chr1	42682418	42703805	+	ENSG00000065978
chr1	42733093	42740236	-	ENSG00000164007
chr1	42746374	42767028	-	ENSG00000117385
chr1	42767249	42779491	+	ENSG00000164008
chr1	42767306	42789934	+	ENSG00000283580
chr1	42784991	42800827	+	ENSG00000274386
chr1	42807052	42817397	-	ENSG00000177868
chr1	42817122	42844991	+	ENSG00000164010
chr1	42846613	42852477	+	ENSG00000164011
chr1	42925353	42958868	-	ENSG00000117394
chr1	43147904	43156396	+	ENSG00000186973
chr1	43164184	43172290	-	ENSG00000117395
chr1	43172330	43254358	+	ENSG00000243710
chr1	43269983	43274002	+	ENSG00000179178
chr1	43281877	43285581	-	ENSG00000253313
chr1	43300982	43323108	+	ENSG00000066056
chr1	43337818	43354466	+	ENSG00000117400
chr1	43358981	43363203	+	ENSG00000117399
chr1	43363401	43368011	-	ENSG00000066322
chr1	43383917	43389800	-	ENSG00000159479
chr1	43389899	43454247	+	ENSG00000198198
chr1	43450989	43453931	-	ENSG00000178922
chr1	43530883	43623666	+	ENSG00000142949
chr1	43650149	43705518	+	ENSG00000066135
chr1	43650149	43931014	+	ENSG00000284989
chr1	43707536	43931159	+	ENSG00000126091
chr1	43933801	43937240	+	ENSG00000117407
chr1	43946950	43968022	+	ENSG00000117408
chr1	43970010	43973369	+	ENSG00000132768
chr1	43974960	43978295	+	ENSG00000117410
chr1	43979210	43991168	+	ENSG00000117411
chr1	43991599	43996528	+	ENSG00000159214
chr1	43996483	44031462	-	ENSG00000196517
chr1	44118821	44135140	+	ENSG00000171872
chr1	44137821	44141631	-	ENSG00000283039
